# SingleVariable
# List of ERA5 Single-Level Variables available in the CDS
# (1) ERA5 ID, (2) Full Name,(3) Units, (4) Analysis, (5) Forecast, (6) Invariant, (7) CDS Name, (8) NetCDF ID, (9) MARS ID, (10) DKRZ ID

alnid,Near IR albedo for diffuse radiation,(0 - 1),TRUE,TRUE,FALSE,near_ir_albedo_for_diffuse_radiation,alnid,18,0
alnip,Near IR albedo for direct radiation,(0 - 1),TRUE,TRUE,FALSE,near_ir_albedo_for_direct_radiation,alnip,17,0
aluvd,UV visible albedo for diffuse radiation,(0 - 1),TRUE,TRUE,FALSE,uv_visible_albedo_for_diffuse_radiation,aluvd,16,0
aluvp,UV visible albedo for direct radiation,(0 - 1),TRUE,TRUE,FALSE,uv_visible_albedo_for_direct_radiation,aluvp,15,0
anor,Angle of sub-gridscale orography,radians,TRUE,FALSE,TRUE,angle_of_sub_gridscale_orography,anor,162,162
asn,Snow albedo,(0 - 1),TRUE,TRUE,FALSE,snow_albedo,asn,32,32
bfi,Benjamin-Feir index,dimensionless,TRUE,TRUE,FALSE,benjamin_feir_index,bfi,140253,0
bld,Boundary layer dissipation,J m**-2,FALSE,TRUE,FALSE,boundary_layer_dissipation,bld,145,145
blh,Boundary layer height,m,TRUE,TRUE,FALSE,boundary_layer_height,blh,159,159
cape,Convective available potential energy,J kg**-1,TRUE,TRUE,FALSE,convective_available_potential_energy,cape,59,59
cbh,Cloud base height,m,FALSE,TRUE,FALSE,cloud_base_height,cbh,228023,279
cdir,Clear-sky direct solar radiation at surface,J m**-2,FALSE,TRUE,FALSE,clear_sky_direct_solar_radiation_at_surface,cdir,228022,278
cdww,Coefficient of drag with waves,dimensionless,TRUE,TRUE,FALSE,coefficient_of_drag_with_waves,cdww,140233,0
chnk,Charnock,~,TRUE,TRUE,FALSE,charnock,chnk,148,0
ci,Sea ice area fraction,(0 - 1),TRUE,TRUE,FALSE,sea_ice_cover,siconc,31,34
cin,Convective inhibition,J kg**-1,FALSE,TRUE,FALSE,convective_inhibition,cin,228001,0
cl,Lake cover,(0 - 1),TRUE,TRUE,TRUE,lake_cover,cl,26,26
cp,Convective precipitation,m,FALSE,TRUE,FALSE,convective_precipitation,cp,143,143
crr,Convective rain rate,kg m**-2 s**-1,FALSE,TRUE,FALSE,convective_rain_rate,crr,228218,474
csf,Convective snowfall,m of water equivalent,FALSE,TRUE,FALSE,convective_snowfall,csf,239,239
csfr,Convective snowfall rate water equivalent,kg m**-2 s**-1,FALSE,TRUE,FALSE,convective_snowfall_rate_water_equivalent,csfr,228220,476
cvh,High vegetation cover,(0 - 1),TRUE,FALSE,TRUE,high_vegetation_cover,cvh,28,28
cvl,Low vegetation cover,(0 - 1),TRUE,FALSE,TRUE,low_vegetation_cover,cvl,27,27
d2m,2 metre dewpoint temperature,K,TRUE,TRUE,FALSE,2m_dewpoint_temperature,d2m,168,168
dctb,Duct base height,m,FALSE,TRUE,FALSE,duct_base_height,dctb,228017,0
deg0l,Zero degree level,m,FALSE,TRUE,FALSE,zero_degree_level,deg0l,228024,0
dl,Lake depth,m,TRUE,TRUE,TRUE,lake_depth,dl,228007,263
dndza,Mean vertical gradient of refractivity inside trapping layer,m**-1,FALSE,TRUE,FALSE,mean_vertical_gradient_of_refractivity_inside_trapping_layer,dndza,228016,0
dndzn,Minimum vertical gradient of refractivity inside trapping layer,m**-1,FALSE,TRUE,FALSE,minimum_vertical_gradient_of_refractivity_inside_trapping_layer,dndzn,228015,0
dwi,10 metre wind direction,degrees,TRUE,TRUE,FALSE,ocean_surface_stress_equivalent_10m_neutral_wind_direction,dwi,140249,0
dwps,Wave spectral directional width for swell,Radians,TRUE,TRUE,FALSE,wave_spectral_directional_width_for_swell,dwps,140228,0
dwww,Wave spectral directional width for wind waves,Radians,TRUE,TRUE,FALSE,wave_spectral_directional_width_for_wind_waves,dwww,140225,0
e,Evaporation,m of water equivalent,FALSE,TRUE,FALSE,evaporation,e,182,182
es,Snow evaporation,m of water equivalent,FALSE,TRUE,FALSE,snow_evaporation,es,44,44
ewss,Eastward turbulent surface stress,N m**-2 s,FALSE,TRUE,FALSE,eastward_turbulent_surface_stress,ewss,180,180
fal,Forecast albedo,(0 - 1),TRUE,TRUE,FALSE,forecast_albedo,fal,243,277
fdir,Total sky direct solar radiation at surface,J m**-2,FALSE,TRUE,FALSE,total_sky_direct_solar_radiation_at_surface,fdir,228021,0
fg10,10 metre wind gust since previous post-processing,m s**-1,FALSE,TRUE,FALSE,10m_wind_gust_since_previous_post_processing,fg10,49,49
flsr,Forecast logarithm of surface roughness for heat,~,TRUE,TRUE,FALSE,forecast_logarithm_of_surface_roughness_for_heat,flsr,245,245
fsr,Forecast surface roughness,m,TRUE,TRUE,FALSE,forecast_surface_roughness,fsr,244,244
gwd,Gravity wave dissipation,J m**-2,FALSE,TRUE,FALSE,gravity_wave_dissipation,gwd,197,197
hcc,High cloud cover,(0 - 1),TRUE,TRUE,FALSE,high_cloud_cover,hcc,188,188
hmax,Maximum individual wave height,m,TRUE,TRUE,FALSE,maximum_individual_wave_height,hmax,140218,0
i10fg,Instantaneous 10 metre wind gust,m s**-1,FALSE,TRUE,FALSE,instantaneous_10m_wind_gust,i10fg,228029,285
ie,Instantaneous moisture flux,kg m**-2 s**-1,TRUE,TRUE,FALSE,instantaneous_moisture_flux,ie,232,232
iews,Instantaneous eastward turbulent surface stress,N m**-2,TRUE,TRUE,FALSE,instantaneous_eastward_turbulent_surface_stress,iews,229,0
ilspf,Instantaneous large-scale surface precipitation fraction,(0 - 1),FALSE,TRUE,FALSE,instantaneous_large_scale_surface_precipitation_fraction,ilspf,228217,0
inss,Instantaneous northward turbulent surface stress,N m**-2,TRUE,TRUE,FALSE,instantaneous_northward_turbulent_surface_stress,inss,230,0
ishf,Instantaneous surface sensible heat flux,W m**-2,TRUE,TRUE,FALSE,instantaneous_surface_sensible_heat_flux,,231,
isor,Anisotropy of sub-gridscale orography,~,TRUE,FALSE,TRUE,anisotropy_of_sub_gridscale_orography,isor,161,161
istl1,Ice temperature layer 1,K,TRUE,TRUE,FALSE,ice_temperature_layer_1,istl1,35,35
